istat_code,name,province_code,region_code
045001,Aulla,MS,09
045002,Bagnone,MS,09
045003,Carrara,MS,09
045004,Casola in Lunigiana,MS,09
045005,Comano,MS,09
045006,Filattiera,MS,09
045007,Fivizzano,MS,09
045008,Fosdinovo,MS,09
045009,Licciana Nardi,MS,09
045010,Massa,MS,09
045011,Montignoso,MS,09
045012,Mulazzo,MS,09
045013,Podenzana,MS,09
045014,Pontremoli,MS,09
045015,Tresana,MS,09
045016,Villafranca in Lunigiana,MS,09
045017,Zeri,MS,09
046001,Altopascio,LU,09
046002,Bagni di Lucca,LU,09
046003,Barga,LU,09
046004,Borgo a Mozzano,LU,09
046005,Camaiore,LU,09
046006,Camporgiano,LU,09
046007,Capannori,LU,09
046008,Careggine,LU,09
046009,Castelnuovo di Garfagnana,LU,09
046010,Castiglione di Garfagnana,LU,09
046011,Coreglia Antelminelli,LU,09
046013,Forte dei Marmi,LU,09
046014,Fosciandora,LU,09
046015,Gallicano,LU,09
046017,Lucca,LU,09
046018,Massarosa,LU,09
046019,Minucciano,LU,09
046020,Molazzana,LU,09
046021,Montecarlo,LU,09
046022,Pescaglia,LU,09
046023,Piazza al Serchio,LU,09
046024,Pietrasanta,LU,09
046025,Pieve Fosciana,LU,09
046026,Porcari,LU,09
046027,San Romano in Garfagnana,LU,09
046028,Seravezza,LU,09
046030,Stazzema,LU,09
046031,Vagli Sotto,LU,09
046033,Viareggio,LU,09
046034,Villa Basilica,LU,09
046035,Villa Collemandina,LU,09
046036,Fabbriche di Vergemoli,LU,09
046037,Sillano Giuncugnano,LU,09
047002,Agliana,PT,09
047003,Buggiano,PT,09
047005,Lamporecchio,PT,09
047006,Larciano,PT,09
047007,Marliana,PT,09
047008,Massa e Cozzile,PT,09
047009,Monsummano Terme,PT,09
047010,Montale,PT,09
047011,Montecatini-Terme,PT,09
047012,Pescia,PT,09
047013,Pieve a Nievole,PT,09
047014,Pistoia,PT,09
047016,Ponte Buggianese,PT,09
047017,Quarrata,PT,09
047018,Sambuca Pistoiese,PT,09
047020,Serravalle Pistoiese,PT,09
047021,Uzzano,PT,09
047022,Chiesina Uzzanese,PT,09
047023,Abetone Cutigliano,PT,09
047024,San Marcello Piteglio,PT,09
048001,Bagno a Ripoli,FI,09
048002,Barberino di Mugello,FI,09
048004,Borgo San Lorenzo,FI,09
048005,Calenzano,FI,09
048006,Campi Bisenzio,FI,09
048008,Capraia e Limite,FI,09
048010,Castelfiorentino,FI,09
048011,Cerreto Guidi,FI,09
048012,Certaldo,FI,09
048013,Dicomano,FI,09
048014,Empoli,FI,09
048015,Fiesole,FI,09
